Point,apar,EVI2_type_A,EVI2_type_B,EVI2_type_C,fesc_type_A,fesc_type_B,fesc_type_C,FPAR,GPP_CEDAR,GPP_fluxcom,kNDVI_type_B,kNDVI_type_C,LAI,LUE_CEDAR,LUE_fluxcom,NDVI_type_A,NDVI_type_B,NDVI_type_C,new_kNDVI_type_C,NIRv_type_A,NIRv_type_B,NIRv_type_C,NIRvP,NIRvR,par,sif,SIF_yield_P,SIF_yield_R,sifapar
"(59, 147)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 148)",1065.666,0.5155225,0.5166896,0.510895,0.4398387223482132,0.44182340800762177,0.4333612471818924,0.64387107,nan,nan,0.46028996,0.46556234,1.9978493,nan,nan,0.70440894,0.70083946,0.70619893,0.4655623,0.27162182,0.27273935,0.26762328,448.56427,334.11533,1654.6105,0.5588909,0.0048102112,0.005292693,0.0005276119
"(59, 149)",1349.3756,0.6352834,0.6386444,0.63225096,0.4816914399464925,0.4863354762395223,0.47821375727653503,0.7386022,116.61045,133.26433,0.61364776,0.6166915,2.6612902,0.08728748,0.100740336,0.84698266,0.84605104,0.848928,0.6166915,0.35268483,0.35572782,0.34996986,641.1452,449.97092,1820.4252,0.7911295,0.003828531,0.0054214275,0.00059663673
"(59, 150)",1171.0641,0.6276539,0.633502,0.6281228,0.4972446660200755,0.504159172375997,0.49664270877838135,0.7030106,113.611855,126.883385,0.6039246,0.60972637,2.3204305,0.09787675,0.109297656,0.83964497,0.83742505,0.8428328,0.60972637,0.3476675,0.35271108,0.34751272,572.66254,447.98758,1663.2789,0.7762911,0.00571876,0.00561842,0.00067176943
"(59, 151)",1253.3208,0.6376067,0.64177555,0.63806605,0.4918731252352397,0.49737126628557843,0.4918837944666545,0.72946244,120.70162,126.48096,0.5991675,0.6045482,2.6010754,0.0968773,0.10165293,0.8379441,0.83273625,0.8377436,0.6045482,0.35562503,0.3597693,0.3559171,619.0044,454.95166,1712.6471,0.86713314,0.004681906,0.006028176,nan
"(59, 152)",1214.5121,0.60980105,0.6154291,0.61061734,0.4797629117965698,0.48681174715360004,0.4800802568594615,0.699785,119.32195,130.32379,0.5979414,0.60269237,2.3655918,0.098475665,0.10798504,0.83296686,0.8314099,0.83582973,0.60269237,0.33404753,0.33893153,0.33433616,580.58936,440.48352,1732.6823,0.80691737,0.004838283,0.0059768553,0.0006690573
"(59, 153)",1147.6525,0.58047205,0.5800105,0.573541,0.4830639660358429,0.4822642505168915,0.47289377450942993,0.6553762,104.44858,111.69031,0.56260085,0.56980574,2.0505378,0.092310965,0.0991436,0.8021016,0.79877657,0.8054073,0.56980574,0.31485608,0.31445038,0.30837706,552.7473,404.68716,1744.6891,0.67241436,0.004065512,0.0050037,0.00059623824
"(59, 154)",nan,0.50908154,0.5043231,0.49899405,0.44535380601882935,0.4399281442165375,0.43141743540763855,0.60225785,74.59815,nan,0.48716694,0.49623138,1.7580646,0.07763378,0.0646866,0.7350178,0.7287562,0.73712397,0.49623138,0.26787922,0.26456589,0.25951213,410.13965,384.98602,1517.9033,0.71039057,nan,0.005560302,0.0007777747
"(59, 155)",1148.4048,0.62915176,0.6336275,0.62951297,0.5278039574623108,0.5331893861293793,0.5259965360164642,0.66225815,121.435326,124.01522,0.59623975,0.60204774,2.0688174,0.10604624,0.10784491,0.8341563,0.8301808,0.8355871,0.6020478,0.3495694,0.3535125,0.349259,602.2034,448.10703,1730.4315,0.78965086,0.0043290686,0.0055236756,0.0006970565
"(59, 156)",1200.465,0.64182556,0.64737767,0.641975,0.49659550189971924,0.5028716623783112,0.4953906337420146,0.7246237,121.49912,128.50742,0.6087436,0.6137755,2.4494627,0.10209004,0.10833365,0.8463345,0.8413488,0.8460875,0.6137755,0.35827813,0.3631139,0.35790098,592.6154,469.52747,nan,0.8300385,0.004791603,0.0055750813,nan
"(59, 157)",1283.0133,0.6045207,0.60817647,0.605944,0.44569231073061627,0.4499140481154124,0.4456741213798523,0.75215054,120.10351,127.078545,0.563179,0.5723315,2.7365592,0.094614476,0.10009388,0.80332476,0.7994059,0.8080215,0.5723315,0.3333932,0.33675122,0.33365574,568.4519,443.55847,1698.9406,0.7609891,0.0045100073,0.0054962686,0.0006048062
"(59, 158)",1347.8931,0.6126585,0.6281083,0.62027174,0.4439576168855031,0.4608666002750397,0.45095720887184143,0.76301074,118.26127,131.87462,0.60004,0.60628,2.884946,0.08912171,0.10017445,0.8397432,0.833705,0.8396432,0.6062801,0.33649877,0.34971908,0.34229913,600.0241,458.59863,1756.8383,0.8586995,0.004760109,0.0059243874,0.00065232994
"(59, 159)",1397.236,0.6436144,0.6530202,0.649279,0.4654764135678609,0.47584692637125653,0.47045982877413434,0.77301073,117.67112,129.13153,0.62380946,0.63127494,2.9870968,0.08489996,0.09337223,0.8631765,0.8557327,0.86275077,0.63127494,0.35769153,0.36601257,0.36198935,639.3046,480.62955,1716.6934,0.9015425,0.004556974,0.0059519946,0.00065451354
"(59, 160)",1353.1432,0.63707846,0.6469211,0.64527565,0.4718734224637349,0.4842093189557393,0.4800498386224111,0.75827956,117.55948,124.379395,0.58784604,0.59836835,2.8182793,0.0879566,0.09267837,0.8312358,0.82269675,0.8326377,0.59836835,0.35682216,0.3663447,0.36317858,630.1458,460.29422,1686.8076,0.8184264,0.0042659934,0.0057118856,0.00062271935
"(59, 161)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 162)",1124.1478,0.6159596,0.6236942,0.6182386,0.47934534152348834,0.48841942350069684,0.4812188545862834,0.71064514,118.89927,130.60555,0.59642166,0.59976333,2.4344084,0.10748837,0.11015556,0.83345777,0.83013564,0.8332739,0.59976333,0.3403128,0.3468124,0.34176353,538.16205,458.0306,1576.3267,0.8089587,0.0044341097,0.0054691024,0.0006947645
"(59, 163)",1256.36,0.6298699,0.6388652,0.631454,0.4997559090455373,0.5105056961377462,0.5001709659894308,0.71182793,125.35105,130.6491,0.5875675,0.5921425,2.4795702,0.101612575,0.106525384,0.8278968,0.8223018,0.8265775,0.5921425,0.3526388,0.3605044,0.35318813,613.98004,460.78674,1752.692,0.8294576,0.0046329573,0.00578096,nan
"(59, 164)",1168.2661,0.6455801,0.6553934,0.64707834,0.4979176918665568,0.50885209441185,0.4987087945143382,0.7322581,117.94227,131.15825,0.60935295,0.61158156,2.6086018,0.102858074,0.114783734,0.8462383,0.84267646,0.84480286,0.61158156,0.36170283,0.37024203,0.36291066,575.82355,467.81082,nan,0.85154706,0.00612613,0.0058380067,nan
"(59, 165)",1132.6117,0.6238988,0.63347226,0.6254781,0.48274969061215717,0.4934636851151784,0.4835731585820516,0.7182794,119.9759,133.09111,0.59914756,0.60259,2.4752684,0.10815666,0.11374602,0.8350374,0.83237123,0.8355706,0.60258996,0.34466633,0.35275105,0.34558788,541.65265,445.91064,1574.1044,0.7711517,0.005641176,0.0053592925,0.00070392806
"(59, 166)",1123.1979,0.5611801,0.56181586,0.55822706,0.4567270576953888,0.4573058784008026,0.4517211467027664,0.6629033,113.75141,105.61876,0.53608835,0.54458714,2.0758064,0.10188185,0.09493813,0.7808545,0.77438927,0.7823036,0.54458714,0.3017615,0.3022743,0.29857194,507.73434,407.1646,1686.8193,0.6539502,0.004159263,0.004775173,0.0005942514
"(59, 167)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 168)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 169)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 170)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 171)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 172)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 173)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 174)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 175)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 176)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 177)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 178)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 179)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 180)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 181)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 182)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 183)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 184)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 185)",1332.26,0.5819412,0.5864253,0.5758036,0.39335811138153076,0.3974052965641022,0.38618582487106323,0.79354835,104.64795,138.12215,0.59150195,0.59687513,2.9483874,0.07854919,0.10367507,0.8260133,0.8252539,0.8301904,0.59687513,0.3121487,0.3153603,0.30645713,524.49,439.4174,1678.8643,0.68400496,0.0040328926,0.0046702833,0.000513417
"(59, 186)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 187)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 188)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 189)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 190)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 191)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 192)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 193)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 194)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 195)",1170.1301,0.56066704,0.5533117,0.55047786,0.43605971336364746,0.42758992314338684,0.42287246882915497,0.6896774,98.52315,106.509575,0.545061,0.55550885,2.2435484,0.08422562,0.0910147,0.7851136,0.7823041,0.79189706,0.55550885,0.30016744,0.2943226,0.2910797,510.94055,416.55295,1697.8552,0.6459943,0.003958644,0.0046615554,0.00055165176
"(59, 196)",1146.8502,0.52558875,0.5276976,0.5238738,0.4172923068205516,0.42008452614148456,0.4136427442232768,0.66225797,114.600746,117.652855,0.50503486,0.51622075,2.116129,0.09990101,0.10266047,0.74998754,0.7447574,0.75546485,0.51622075,0.27668932,0.2784572,0.27417028,478.9537,385.2311,1733.0273,0.59789044,0.0038619982,0.0046692174,0.0005214071
"(59, 197)",1166.8784,0.60308105,0.6085445,0.5979467,0.489877313375473,0.4630585312843323,0.48213454087575275,0.675699,109.8317,123.024574,0.5881502,0.595699,2.1591399,0.09407967,0.10543615,0.8247805,0.82247186,0.8294234,0.595699,0.33067146,0.33519796,0.32541585,570.446,429.52103,1727.6411,0.69401044,0.0039238688,0.0049212533,0.0005956969
"(59, 198)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 199)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 200)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 201)",1279.348,0.56387556,0.56573856,0.5545049,0.4102156013250351,0.41234423220157623,0.3987690806388855,0.73983866,101.980316,86.95213,0.5439205,0.5497624,2.8903222,0.07969282,0.06796089,0.7818028,0.7809473,0.7865554,0.5497624,0.30343822,0.3049149,0.29487368,526.93054,415.3518,1730.481,0.6448652,0.0038143797,0.0046629407,0.0005039944
"(59, 202)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 203)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 204)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 205)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 206)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 207)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 208)",1249.2147,0.63400227,0.62758684,0.6201,0.4506707787513733,0.44370511174201965,0.43520990014076233,0.7841936,111.657974,130.76172,0.59982806,0.6038736,3.0903232,0.08938253,0.10467514,0.8331747,0.83323485,0.836982,0.60387355,0.35341313,0.3479507,0.3412888,569.77655,491.57617,1592.9928,0.8508036,0.0047785533,0.0053917374,0.0006810707
"(59, 209)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 210)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 211)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 212)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 213)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 214)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 215)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 216)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 217)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 218)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 219)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 220)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 221)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 222)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 223)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 224)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 225)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 226)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 227)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 228)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(59, 229)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 0)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 1)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 2)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 3)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 4)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 5)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 6)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 7)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 8)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 9)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 10)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 11)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 12)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 13)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 14)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 15)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 16)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 17)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 18)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 19)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 20)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 21)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 22)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 23)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 24)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 25)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 26)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 27)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 28)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 29)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 30)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 31)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 32)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 33)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 34)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 35)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 36)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"(60, 37)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
